Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
73,21:13:08.124,target,BB Gun,0s,1,1,1,1,1,1,false
74,21:13:08.747,target,BB Gun,0.001s,1,1,1,1,1,1,false
75,21:13:09.622,target,BB Gun,0.001s,1,1,1,1,1,1,false
76,21:13:10.254,target,BB Gun,0s,1,1,1,1,1,1,false
77,21:13:11.067,target,BB Gun,0s,1,1,1,1,1,1,false
78,21:13:11.706,target,BB Gun,0s,1,1,1,1,1,1,false
79,21:13:12.372,target,BB Gun,0s,1,1,1,1,1,1,false
80,21:13:12.963,target,BB Gun,0s,1,1,1,1,1,1,false
81,21:13:13.616,target,BB Gun,0.001s,1,1,1,1,1,1,false
82,21:13:14.206,target,BB Gun,0s,1,1,1,1,1,1,false
83,21:13:14.749,target,BB Gun,0s,1,1,1,1,1,1,false
84,21:13:15.346,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,90,84,84.0,90.0,

Kills:,84
Deaths:,0
Fight Time:,3.899
Avg TTK:,0
Damage Done:,84.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,94
Scenario:,ww3t Voltaic
Hash:,ad9acb06d1d083b684057b7adc45d79d
Game Version:,2.0.4.0
Challenge Start:,21:12:15.706

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Valorant
Horiz Sens:,0.536
Vert Sens:,0.536
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,2560x1440
Avg FPS,143.953491
Resolution Scale,100.0
